Text,translated_text
"বাংলা অপটিক্যাল ক্যারেক্টার রিডার :D... http://fb.me/2a6hLn5At 
",Bangla Optical Character Reader :D... http://fb.me/2a6hLn5At
"''ভালোবাসার মাঝে হালকা ভয় থাকলে, সেই ভালোবাসা মধূর হয়.. কেননা, হারানোর ভয়ে .. প্রিয়য়জনের প্রতি ভালোবাসা আরো বেড়ে যায় ''!♥!
","""If there is a slight fear in love, that love is sweet.. because, fear of loss.. love for the loved one increases""!♥!"
"গত রাতে ডাচ ক্লাব ভিতেসের হয়ে ১ টি গোল & ২ টি অ্যাসিস্ট করে দল জিতিয়েছেন লুকাস পিয়াজন :-) লাইক হবে ?? #RKB http://fb.me/14PFSZaRh 
",Last night Lucas Piazon scored 1 goal & 2 assists for Dutch club Vitesse and won the team :-) Like ?? #RKB http://fb.me/14PFSZaRh
"গাছের ডাল দিয়ে কুড়ালের হাতল বানিয়ে সেই কুড়াল দিয়ে মানুষ সেই গাছই কাটে। মানুষ বড় অকৃতজ্ঞ প্রাণী।:-)
","By making an ax handle from a tree branch, people cut that tree with that ax. Humans are big ungrateful creatures. :-)"
"ব্যাচেলর ডিগ্রী কমপ্লিট করা ছাড়া ব্যাচেলর ডিগ্রী হারাব না। :) :D আপনার প্লান কী?
",A bachelor's degree will not be lost without completing the bachelor's degree. :) :D What's your plan?
"ভাইয়া তার কোন ফ্রেন্ড এর বাসায় যাচ্ছে গ্রুপ স্টাডি করতে .. আম্মু বলে '' সত্তি করে বল তো কোন মেয়ের সাথে দেখা করতে যাচ্ছ ?'' xD :D
","Brother is going to his friend's house for group study.. Mom says ""Satike tell me which girl are you going to meet?"" xD :D"
"ভালবাসা কি খেলনা? -_- ইচ্ছা হল খেললাম,ইচ্ছা হল ভেঙে দিলাম? :v :p অনেকেই বলতে শুনি ওর সাথে ব্রেক-আপ করে ফেলব... http://fb.me/6nqOlzx35 
","Is love a toy? -_- I wish I played, I wish I broke it? :v :p I heard many people say that I will break up with her... http://fb.me/6nqOlzx35"
"পথ শিশুদের নিয়ে এই ভদ্রলোক দামী ফাস্ট ফুডে ঢুকে গেলেন সবাই মিলে খাবার জন্য ...... স্যালুট <3 http://fb.me/17jSgQwYQ 
",This gentleman with street children went into expensive fast food to eat all together ...... Salute <3 http://fb.me/17jSgQwYQ
"camera এর সাথে একটু দুষ্টুমি :p :p :p http://fb.me/2zu15KGjG 
",A little mischief with the camera :p :p :p http://fb.me/2zu15KGjG
"আমার জানা শোনা মতে বেস্ট পিকেটিং হইসে এটা :D http://fb.me/1OazV9019 
",This is the best picketing I know :D http://fb.me/1OazV9019
"একটি নাইকন ১৮-৫৫ মিমি লেন্স বিক্রয় হইবে। আগ্রহী রা Fayek Tasneem Khan এর সাথে যোগাযোগ করুন :D http://fb.me/2KMTT9gKv 
",A Nikon 18-55mm lens for sale. Interested contact Fayek Tasneem Khan :D http://fb.me/2KMTT9gKv
"Sunnah... it's not a choice! It's a Must! <3 ••► সাহাবাগন সে সমস্ত কাজ গভীর আবেগ আর ভালোবাসা নিয়ে করেতেন যা কিছু... http://fb.me/1cnhaPJ2c 
",Sunnah... it's not a choice! It's a must! <3 ••► Sahabagan used to do all those things with deep passion and love whatever... http://fb.me/1cnhaPJ2c
"how FunNny ?? :P তরুন প্রজন্মের নেতা শাহবাগ গনজাগরণ মঞ্চের আহবায়ক বাংলাদেশের (২য় মুক্তিযুদ্ধের) ঘোষক জনাব ইমরান... http://fb.me/AH6Zdb2P 
",how FunNnny?? :P Youth generation leader Shahbag Ganjagaran Manch convener Bangladesh (2nd liberation war) announcer Mr. Imran... http://fb.me/AH6Zdb2P
"Quote of the Day :) একজন লেখক হলেন সেই ব্যক্তি, যাঁর জন্য লেখালেখি অন্যদের চেয়ে কঠিন। .....টমাস মান (জার্মান ঔপন্যাসিক)
",Quote of the Day :) A writer is someone for whom writing is more difficult than others. .....Thomas Mann (German novelist)
"জোশ! :D http://fb.me/20LTFvmBj 
",Josh! :D http://fb.me/20LTFvmBj
"ম্যাক্সিমাম ডিরেক্টররা শুটিং স্পটে দেরী করে আসে, আইসা আবার অ্যাসিস্ট্যান্টদের ঘাড়ায় :P
","Maximum director comes late to shooting spot, Aisa calls assistants again :P"
"সুপ্রভাত সবাইকে… :-) :-)
",Good morning everyone… :-) :-)
"What's the best thing that happened to you today? — Rebirth of Sound box এতদিন যাতনা চাপিয়া যন্ত্রণায় ছিলাম :P http://ask.fm/a/a0qohh96 
",What's the best thing that happened to you today? — Rebirth of Sound box I was in pain after pressing for so long :P http://ask.fm/a/a0qohh96
"বল বীর, বল চির উন্নত মম শির, শির নেহারি নত শির ওই শিখর হিমাদ্রির. - কবি কাজী নজরুল ইসলাম #SRK_JAN <3
","Say hero, say ever-elevated mom Shir, Shir Nehari nat Shir that peak of Himadri. - Poet Kazi Nazrul Islam #SRK_JAN <3"
"হুমায়ূন স্যারের বইয়ের সাথে আপনাদের ১ম পরিচয়ের গল্পটি আমাদের শেয়ার করুন :) চাইলে পেজে মেসেজও করতে পারেন ! :)
","Share with us the story of your first acquaintance with Humayun Sir's book :) If you want, you can also message the page! :)"
"#হিমু ভালবাসার সর্বকালীন শ্রেষ্ট কথা !! | | | | | | | | | | | জানু তুমি ভাত খাইছো ? :p :p
",#himu best love quotes ever !! | | | | | | | | | | | Do you know you are eating rice? :p :p
"আজ রোজা রেখেছেন কে কে?? :)
",Who is fasting today?? :)
"গরম ভাত সাথে গরুর মাংস ভুনা।। আআআহ তার পরে আবার বউ মুখে তুলে দিছে খাওয়ায়ে ।। এর থেকে ভাল সকাল আর কি বা হতে পারে?? শুভ সকাল বন্ধুরা :)
","Roast beef with hot rice. After that, the wife again put food in her mouth. What could be a better morning than this?? good morning friends :)"
":) শুভ সকাল :) http://fb.me/TtMbGVa3 
",:) Good Morning :) http://fb.me/TtMbGVa3
"দুষ্ট গরুর চেয়ে শূন্য গোয়াল ভালো !!!! এখন গোয়াল ঘরের পরিস্কার কাজ চলছে। :P :P
",Zero cows are better than evil cows !!!! Now the cow house is being cleaned. :P :P
"গুড জব রবি। এইরখম ফ্রি আর কয়েক দিন রাখিস :)
",Good job Ravi. Keep it free for a few more days :)
"Like Our Jokes Page :p ---------------------------- •৷• হাসির ঔষধ - খাইলেই বুঝবেন •৷•... http://fb.me/PJWNU85L 
",Like Our Jokes Page :p --------------------------- •.• Medicine of laughter - you will understand if you eat it •.•... http: //fb.me/PJWNU85L
"আজ ৮ই ডিসেম্বর কুমিল্লা মুক্ত দিবস । ১৯৭১ সালের এই দিনে পাক হায়েনা মুক্ত হয় আমাদের কুমিল্লা :)
","Today 8th December is Comilla Independence Day. On this day in 1971, Pak Hyena was freed from our Comilla :)"
"ক্যারে...পেইজে লাইক দেস না ক্যারে ? ॥॥ সিকান্দার বক্স এখন ফেইজবুকে ॥। <3 সিকান্দার বক্স <3 <3 সিকান্দার... http://fb.me/3iraJa3VJ 
",Why do you not like the page? ॥ Sikandar Box is now on Facebook. <3 Sikandar Box <3 <3 Sikandar... http://fb.me/3iraJa3VJ
"অবো-তাল :v পসন্দ হৈসে! একটা ফিউশন ফিউশন ভাব আছে! :P http://fb.me/6PwHQEGn7 
",Abo-tal :v Pasand Haise! There is a fusion fusion feeling! :P http://fb.me/6PwHQEGn7
"শুভ সকাল বন্ধুরা !!! সুন্দর হোক তোমার আজকের দিনটা..... :)
",Good morning guys!!! Have a nice day.....:)
"শীত শীত শীতেল হাওয়া 3:) তোর কি সাধ্য আমায় ছোঁয়া 8-) ভালবাসি চাদরের কোমল আদরে :3 রেখেছি ঘিরে এই আমাই :v শীত শীত শীতেল হাওয়া :)
",Cold cold cold wind 3:) What can you do to touch me 8-) Love the soft caress of the sheet :3 I keep this around me :v Cold cold cold wind :)
"মতিকন্ঠ সমাচার :) http://fb.me/3dGlXQMFg 
",Matikantha Samachar :) http://fb.me/3dGlXQMFg
"চা ইজ দা পাওয়ার অফ আওয়ার এনারজি :P http://fb.me/2dk8HkuB3 
",Tea is the power of our energy :P http://fb.me/2dk8HkuB3
"পরীক্ষার আগের ১৫ দিন শত চেষ্টা করেও ৯ টার আগে ঘুম থেকে উঠতে পারি নি। নিয়তির কি পরিহাস ! এখন ৮ টার সময় উঠে ফেবু তে বসি :P
","15 days before the exam, I could not wake up before 9 o'clock despite my best efforts. What irony of destiny! Now I get up at 8 o'clock and sit on Facebook :P"
"গভীর রাতের মাংস পোড়া স্ট্যাটাসে স্ট্যাটাস ফেসবুক একদম কাবাবময় :D বিধাতা তুমি কচি পোলাপাইনের এই শোক সইবার শক্তি দাও আমীন
","Late night meat burning status status Facebook is absolutely kebab :D God give you the strength to bear this grief of little Polapine, Ameen."
"খিলগাঁও টু উত্তরা এইয়ারপোর্ট এর শেষ সীমানা :D অস্থির একটা সাইকেল রাইড করলাম :D ৯ ঘণ্টা সাইকেল চালাইয়া এখন পা... http://fb.me/34dgVKvaQ 
",Last border of Khilgaon to Uttara Airport :D I had a restless bike ride :D After 9 hours of cycling now... http://fb.me/34dgVKvaQ
"দেওবৰীয়া সুপ্ৰভাত ৰাইজ :-)
",Good Morning Deobariya :-)
"গুড মর্নিং :)
",good morning :)
"সুন্দর একটি নাস্তার জইন্য আমার ছোটভাই Mehedee Hasanকে ধনেপাতার শুভেচ্ছা... :D
",Best wishes for a beautiful breakfast jainya to my little brother Mehedee Hasan... :D
"ঘুমিয়ে না পড়লে রাসুল (সঃ) একটি বানী শুনে ঘুমান...!!! আয়েশা (রা:) থেকে বর্ণিত, “রাসুল (সাঃ) প্রতি রাতে শয্যা... http://fb.me/WmFajUKh 
","If you do not sleep, Rasool (SAW) listens to a speech and sleeps...!!! Narrated Aisha (RA): “The Messenger (PBUH) used to sleep every night... http://fb.me/WmFajUKh"
"আমি তোমার জন্য জমিয়ে রাখা ভালোবাসা উড়িয়ে দিয়েছি কোন নামহীন কবিতার মাঝে। :p pic.twitter.com/e8cQpvY7D8
",I blew the love I kept for you in some nameless poem. :p pic.twitter.com/e8cQpvY7D8
"এরশাদ সাহেব চমৎকার ভাবে কথা বলেন... :p... http://fb.me/326wPTxSe 
",Ershad sahib speaks beautifully... :p... http://fb.me/326wPTxSe
"ফাটাফাট (ভারতীয়দের মতোন আর কি) কয়েকটা টোস্ট আর এক মগ দুদ চা মেরে দিলাম... এট্টু ভাল্লাগচে যে ঠাকুরপো! :)
",Fatapat (what else like Indians) I killed a few toasts and a mug of dud tea... Ettu Vallagche that Thakurpo! :)
"গুড মর্নিং টুইটিয :-)
",Good Morning Tweets :-)
"ধনীর ঘরের সন্তানেরা বড় হতে সময় লাগে ৩০ বছর। আর গরিবের সন্তানেরা বড় হয় ১০ বছরে। হাজারো শুকরিয়া ধনীর দুলালদের চেয়ে ২০ বছর এগিয়ে আছি :p
","It takes 30 years for the children of a rich family to grow up. And the children of the poor grow up in 10 years. Thanks a lot, I am 20 years ahead of Dhani's brokers :p"
"কেও আমারে মাইরালা...... :D http://fb.me/1vtnDLBtA 
",Keo Amare Myraala...... :D http://fb.me/1vtnDLBtA
"আমি বাংলাদেশি।I love my country.★★★
",I am Bangladeshi. I love my country
"অনেক মানুষই ভাবে যে পৃথিবীর সবচেয়ে সুন্দর কথা হলো *I LOVE YOU* . কিন্তু এর চেয়েও প্রিয় বাক্য হলো যখন কেউ... http://fb.me/2fsg1Lb1L 
",Many people think that the most beautiful words in the world are *I LOVE YOU*. But even more favorite saying is when someone... http://fb.me/2fsg1Lb1L
"I Love Bangladesh এর পক্ষ থেকে কুমিল্লাবাসীকে জানাই আন্তরিক অভিন্দন..... http://fb.me/1a7uPuhUb 
",Heartiest congratulations to the people of Comilla from I Love Bangladesh..... http://fb.me/1a7uPuhUb
"মা ভক্তদের জন্য অসাধারন একটি পেজ I Love My Maa লাইক দিতে ভুলবেন না
","Don't forget to like I Love My Maa, an awesome page for Maa fans"
"যদি ভালো লাগে তাহলে ঘুরে আসুন এই পেজটায় । SWEET Love SWEET Love SWEET Love
","If you like it, visit this page. SWEET LOVE SWEET LOVE SWEET LOVE"
"LOVE THIS ........ তুমি রবে নীরবে হৃদয়ে মম নিবিড় নিভৃত পূর্ণিমানিশীথিনী-সম॥ মম জীবন যৌবন মম অখিল... http://fb.me/6jkA3yE1M 
",LOVE THIS ........ You are silent in the heart of the heart. Mom life youth mom Akhil... http://fb.me/6jkA3yE1M
"আমি ইংলিশ এ কাঁচা, তবুও এ টুকু বলতে পারি I LOVE YOU. আমি ভূগোল এ কাঁচা, কিন্তু বলতে পারবো আমার অন্তরে কোথায়... http://fb.me/PNO6sLV4 
","I am raw in English, but I can say I LOVE YOU. I'm raw in geography, but can tell where my heart is... http://fb.me/PNO6sLV4"
"ভালোবাসা দিতে কি special মানুষ লাগে… সবাই- সবাইরে দিলে কি হয়, ভালোবাসা বিলাইলে তো আর ফুরায় যায়না... I Love you all ..
","Does it take a special person to give love... What happens if you give it to everyone, love never ends... I love you all.."
"love Jamdani and Tangail Taater Saree শান্তিনিকেতনে ঢাকাই জামদানী আর মসলিন প্রকাশ তারিখ: ০৬/১২/২০১৩ ১২:০৬:৫৭... http://fb.me/LnBhUEb6 
",love Jamdani and Tangail Taater Saree Shantiniketan Dhakai Jamdani and Muslin Published Date: 06/12/2013 12:06:57... http://fb.me/LnBhUEb6
"sondor sundor jocks and love story pete akhon a ai page a like din.... তুমি শুধু আমার তুমি শুধু আমার তুমি শুধু... http://fb.me/2ukaH6RoK 
",sondor sundor jocks and love story pete akhon a ai page a like din.... you only mine you only mine you only... http://fb.me/2ukaH6RoK
"আমার নতুন এঞ্জেলফিস গুলো অতিমাত্রায় লাজুক। আমি কাছে আসলেই জারের গাছের নিচে পালায়। Love these little #Angels...
",My new angelfish are extremely shy. I actually ran under the jar tree. Love these little #Angels...
"তুমি আমার ঘুড়ি ... আমার হাতে নাটাই... যেখানেই উড়ে বেড়াও ... আমার আকাশ পুরটাই... Love u .... Miss u so much.....
",You are my kite... fly in my hand... fly wherever... my sky is full... Love u .... Miss u so much.....
"আমরা বন্ধু কারণ উই লাভ সিনেমা - EI-Samay http://eisamay.indiatimes.com/entertainment/cinema/we-are-friends-because-we-love-cinema/articleshow/26947711.cms … via @Ei_Samay
",We Are Friends Because We Love Cinema - EI-Samay http://eisamay.indiatimes.com/entertainment/cinema/we-are-friends-because-we-love-cinema/articleshow/26947711.cms … via @Ei_Samay
"অনেক মানুষই ভাবে যে পৃথিবীর সবচেয়ে সুন্দর কথা হলো *I LOVE YOU* কিন্তু এর চেয়েও প্রিয় বাক্য হলো যখন কেউ আপনাকে বলে *I LOVE YOU TOO*
",Many people think that the most beautiful words in the world are *I LOVE YOU* but even more beloved words are when someone tells you *I LOVE YOU TOO*
"Pls like this page অভিমানী ভালবাসা।।Sensitive Love
",Pls like this page sensitive love
"বাংলাদেশ U ১৯ বনাম ওয়েস্টেন্ডিজ U ১৯ বাংলাদেশ U-১৯--222/9 ওভার-৫০ join- We love Bangladesh cricket team
",Bangladesh U 19 vs Westends U 19 Bangladesh U-19--222/9 over-50 join- We love Bangladesh cricket team
"সবাইকে শুভ সকাল।কাল সারা রাত জেগে তামিম ভাই ও আয়েশা ভাবির Love এর কাহিনী শোনলাম।অনেক মজা পাইলাম।কে কে কাল তাদের... http://fb.me/24Py2lfnM 
",Good morning everyone. I stayed up all night yesterday listening to the love story of Tamim Bhai and Ayesha Bhabhi. I had a lot of fun. Who is their tomorrow... http://fb.me/24Py2lfnM
"উফফফফ সাইকেল থাকাটা যে কি সৌভাগ্যের.. <3 I love my cycle :)
",Uffffff what a blessing to have a cycle.. <3 I love my cycle :)
"কাউকে খুব Love you বলতে ইচ্ছে করছে। Hey rANa, I love you man...
","I really want to say I love you to someone. Hey rANa, I love you man..."
"তামিম /আয়েশা তাদের ২ জন কে শুন্তে কান পাতুন এখন ঢাকা এফ এম ৯০.৪ এ ! আশাকরি কেউ মিস করবেন না !! Join- ? We love Bangladesh cricket team
",Listen to Tamim / Ayesha 2 of them now on Dhaka FM 90.4! Hope no one misses!! Join-? We love Bangladesh cricket team
"Love or funn এর 1টি দাড়ূন page so plz like... ভালবাসার রঙ তুলিভালবাসার রঙ তুলি ভালবাসার রঙ তুলিভালবাসার রঙ তুলি
",1 page of Love or funn so plz like... Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love Color of Love
"@shreyaghoshal I Love u.....শ্রেয়া ঘোষাল so much.
",@shreyaghoshal I love u.....shreya ghoshal so much.
"like this joke and love page like dia active thakun.ফেসবুক পাঠশালায় , এসো সবাই ফান এ মেতে উঠি ফেসবুক পাঠশালায় ,... http://fb.me/1QV2Mq9MG 
","like this joke and love page like dia active thakun.Facebook Pathshala, come everyone have fun in Facebook Pathshala,... http://fb.me/1QV2Mq9MG"
"Love is দোলনা
",Love is rocking
"ভোট যদি দিতেই হয় আমি এরশাদ কাকু কে ভোট দিবো ... উনার মতো মজার মানুষ পুরা পৃথিবীতে খুজে পাওয়া যাবে না ... I Love Arshad Kaku You ?
","If I have to vote, I will vote for Arshad Kaku... You won't find a funny person like him in the whole world... I Love Arshad Kaku You?"
"How fast do you fall in love? (আমার কোশ্চেন না । র্যান্ডম কোশ্চেন পিক করলাম ) — ডিপেন্ড করে... :p http://ask.fm/a/a081eo2n 
",How fast do you fall in love? (Not my question. Picked a random question) — Depends... :p http://ask.fm/a/a081eo2n
"ভালবাসা আর ভাললাগার কথা |love tips পেতে এই pagd টি like plz ভালবাসার রঙ তুলিভালবাসার রঙ তুলিভালবাসার রঙ তুলি
","Talk about love and love. To get love tips, like this page plz. Color of love. Color of love. Color of love."
"https://www.facebook.com/ILoveALLAHFanPageOffical … ইউজারনেম দেখেই বোঝা যায় এই পেজের নাম কোন কালে ""I Love Allah""... http://fb.me/VYTpSG6n 
",https://www.facebook.com/ILoveALLAFFanPageOffical … The username shows when this page is called “I Love Allah”… http://fb.me/VYTpSG6n
"আমাদের চিরচেনা মীর @We_Love_Mir ভাই। https://www.facebook.com/photo.php?fbid=1395641957346808&set=a.1395641650680172.1073741836.100007030509894&type=3&l=305fe55faf&permPage=1 …
",Our beloved Mir @We_Love_Mir brother. https://www.facebook.com/photo.php?fbid=1395641957346808&set=a.1395641650680172.1073741836.100007030509894&type=3&l=305fe55faf&permPage=1 …
"Happy Independent Day to u Comilla. আজ 8ই ডিসেম্বর কুমিল্লা মুক্ত দিবস । 1971সালের এইদিনে পাকমক্ত হয় আমাদের... http://fb.me/6AfQynwZr 
","Happy Independence Day to u Comilla. Today 8th December is Comilla Independence Day. On this day in 1971, our... http://fb.me/6AfQynwZr"
"@s_muntaha13: যেখানে শুরুর কথা বলার আগেই শেষ/ সেখানেই মুখ ডুবিয়ে খুঁজতে যাওয়া আমার অভ্যেস...""""Good.
","@s_muntaha13: Where the end is before the beginning can be said / I have a habit of looking for it...""""Good."
"ওকে, বাই, ভালো থাকবেন....সুস্থ থাকবেন Good Night _ Rj Sowrov/ কথাবন্ধু সৌরভ
","Ok, bye, stay well....stay healthy Good Night _ Rj Sowrov/ Kathabandhu Sourav"
"feeling :-) পুরাই পাঙ্খা :-) এত ভাবাভাবির কি আছে ... এইতো জীবন চলছে বেশ চলুক না এইভাবেই ..... আছি তো ভালোই ......
",feeling :-) Purai Pankha :-) What's with so much thinking ... this is how life is going on.
"A good assessment. I do agree... মেয়েদের যে ব্যপারগুলো খেয়াল করে ছেলেরা লাইফস্টাইল | ২৩ অগ্রহায়ন ১৪২০ |... http://fb.me/6x37e6ws8 
",A good assessment. I do agree... The things that girls notice are lifestyle 23 Agrahayana 1420 |... http://fb.me/6x37e6ws8
"চুল,দারি সব বড় বড় হইয়া গেছে, চেহারায় একটা রবীন্দ্রনাথ-রবীন্দ্রনাথ ভাব আইছে #feeling রবীন্দ্রনাথ ট্যাগোর
","The hair and beard have grown, the face has a Rabindranath-Rabindranath feeling #feeling Rabindranath Tagore"
"খৃষ্টান ভাই-বোনদের প্রতি আমার আবেদন - http://www.new-muslims.info/bd/new-muslim-experience/feeling/khristan/ …
",My appeal to Christian brothers and sisters - http://www.new-muslims.info/bd/new-muslim-experience/feeling/khristan/ …
"Hi friends GOOD MORNING কে কে আমার মত ঘুম উঠে fb গুতাগুতি করতেছ . . ...............সাড়া দাও
",Hi friends GOOD MORNING Who wakes up like me and chats on fb? . ...............Answer
"#with_buddies #feeling_ঠান্ডা_ঠান্ডা _GoOd MoRnInG FrIeNdZ_
",#with_buddies #feeling_cold _GoOd MoRnInG FrIeNdZ_
"এখন কারো কাছে ( 5:25 AM) #GoodNight আবার কারো কাছে #GoodMorning,,,,,, আমার কাছে কোনটা,,,,,, আমার কাছে Good Night,,,, ওকে গুড নাইট সবাইকে।
","Now to some ( 5:25 AM) #GoodNight and to some #GoodMorning,,,,, which one to me,,,,, Good Night to me,,,, ok good night everyone."
"ঘুম আসছে . ঘুমে গেলাম £££££££Good££££££££ £££££££Night££££££££
",Sleep is coming. I fell asleep ££££££Good££££££££££££££Night£££££££
"~ শুভরাত্রি ~ ~ Good Night ~ ~{ ☮ }~ http://fb.me/1wH4reLLm 
",~ Good Night ~ ~{ ☮ }~ http://fb.me/1wH4reLLm
"#good_night_শুভরাত্রি যখন আমি রাত ১০ টায় কিংবা ৩টায় ঘুমাতে যাই যে কোন কারনে আমি যথেস্ট পরিমানে ঘুমাতে ব্যর্থ হই। pic.twitter.com/eHhcjAwepl
",#good_night_Shubratri When I go to sleep at 10 or 3 in the night for some reason I fail to sleep enough. pic.twitter.com/eHhcjAwepl
"বন্ধুত্ব কি সব সময়েই আশীর্বাদ? http://www.bdnewstimes.com/is-friendship-always-good/ … via @wpbeginner
",Is friendship always a blessing? http://www.bdnewstimes.com/is-friendship-always-good/… via @wpbeginner
"Good Night. Have A Nice Dream. পশুপাখিরা ফেসবুকে থাকলে তাদের স্ট্যাটাস যেমন হত- তেলাপোকা: আজ বহুত কষ্টে এক... http://fb.me/28n9lx6eU 
","Good night. Have a Nice Dream. If animals were on Facebook, their status would be - Cockroach: Today is a very difficult one... http://fb.me/28n9lx6eU"
"সবাই কে good নাইট......................................................
",Good night everyone................................................. ........
"কালকে থেকে আবার পড়া শুরু করবো । such feeling excited... Study i am come in ur home .... :) after exam
",I will start reading again from tomorrow. such feeling excited... Study i am come in ur home .... :) after exam
"আজ R নয় সবাই K GOOD NIGHT
",Not R today everyone K GOOD NIGHT
"2day is my HAPPY day কারন আজ আমি কিছু পেয়েছি
",2day is my HAPPY day because today I got something
"তোমায় ছুলে শরীর জুড়ে শিউলি ফুটে ওঠে ভালবাসার মুক্ত ডানা ছোঁয়ালে এই ঠোঁটে <3 Good Morning folks :) http://fb.me/ZwWABO5b 
","When I touch you, I get shivers all over my body. The free wings of love touch these lips <3 Good morning folks :) http://fb.me/ZwWABO5b"
"সাবাস বাংলাদেশ ... আমরাও পারি ""সতর্কতা"" জারি করতে ... Good Luck Bangladesh http://fb.me/6tuxNyGlR 
","Greetings Bangladesh ... we can also issue a ""warning"" ... Good Luck Bangladesh http://fb.me/6tuxNyGlR"
".:: Good Morning ::. ~ শুভ সকাল ~ http://fb.me/2x72uwmOx 
",.:: Good Morning ::. ~ Good morning ~ http://fb.me/2x72uwmOx
"আদর্শ পুত্রবধূ হতে যা করণীয়! A Good House Wife http://bit.ly/ILojhl 
",What to do to be the ideal daughter-in-law! A Good House Wife http://bit.ly/ILojhl
"অবশেষে আমার ঘুম শেষ হইলো। Good morning..... থুক্কু , Good After noon.. :D :D :D
","I finally fell asleep. Good morning..... Thukku, Good Afternoon.. :D :D :D"
"শীতের আমেজ, সাথে উত্তরে হাওয়া মনে এক অদ্ভুত শীহরন...... Happy winter :)
","The mood of winter, along with a strange chill in the north wind... Happy winter :)"
"Happy birthda Amartya Sen ( অমর্ত্য সেন ) (জন্ম ৩রা নভেম্বর, ১৯৩৩) একজন নোবেল পুরস্কারবিজয়ী ভারতীয়... http://fb.me/3ctmfjFRJ 
","Happy birthda Amartya Sen (born November 3, 1933) is an Indian Nobel laureate... http://fb.me/3ctmfjFRJ"
"ঘুম ঘুম রাত শেষে, সূর্য আবার উঠল হেসে ফুটলো আবার ভোরের আলো,, দিনটা সবার কাটুক ভালো .. শুরু হল নতুন দিন, জানাই এইবার ♥GÒÒD MØRÑÌÑG♥
","sleep sleep at the end of the night, the sun rose again, smiled and the light of the dawn again,, have a good day everyone .. a new day has begun, let me know this time ♥GÒÒD MØRÑÌÑG♥"
"সবার প্রতি এই হিম শীতের শুভেচ্ছা রইল. GOOD MORNING FRIEND.
",Best wishes to everyone this winter. GOOD MORNING FRIENDS.
"কি খবর সবাই ভালো আছেন ..... আপনারা সবাই ভালো থাকবেন .... ভালো করে সবাই ঘুমাবেন আশা করি ... GOOD NIGHT ALL FACEBOOD FRIENDS …
",What's up everyone.....you all will be fine....hope you all sleep well...GOOD NIGHT ALL FACEBOOK FRIENDS...
"@YourKoel Good Evening দুষ্টু-মিষ্টি সোনাদিদি। pic.twitter.com/VxjFwFTo7J
",@YourKoel Good Evening Naughty-Sweet Sonadidi. pic.twitter.com/VxjFwFTo7J
"@YourKoel দিদিকে কত সুন্দর লাগছে... RT @Tollyqueenkoel ""A Very Happy Birth Day to Boman Irani Sir :) http://fb.me/6A3NIam6W ""","@YourKoel Didi looks so beautiful... RT @Tollyqueenkoel ""A Very Happy Birth Day to Boman Irani Sir :) http://fb.me/6A3NIam6W """
"﻿মাদ্রিদ হারার পর পুরা মনটাই ভাইঙ্গা গেছে :( কিছুই ভালো লাগেনা ... ২ তারিখ কোপেনহেগেন এর সাথে হোম ম্যাচ .... http://fb.me/2MIEwzs4Z									
",﻿My mind is blown after losing to Madrid :( Nothing feels good... 2nd home match with Copenhagen.... http://fb.me/2MIEwzs4Z
"আমি মানুষটা খুব একটা ভালো না। আসলে ভালো থেকে কি কোন বিশেষ সুবিধা আছে? না, নাই! ভালো থেকে অনেক দেখেছি, এটার কোন দামই নাই।।।									
","I am not a very good person. What are the advantages of actually being good? No, no! I've seen a lot of good ones, it's worth nothing..."
"নোয়াখালীতে একজন মারা গেছে পিকেটারদের ইটের আঘাতে :(((									
",One person died in Noakhali after being hit by bricks by picketers :(((
"﻿মন দিতে না পারলে মন ভেঙো না। সুখ দিতে না পারলে কষ্ট দিওনা। ভালোবাসতে না পারলে অভিনয় করিও না। অভিনয় করে কারো জীবন নষ্ট করো না।									
","Don't lose heart if you can't give it. If you can't give happiness, don't give pain. If you can't love, don't act. Don't ruin someone's life by acting."
"আজাইরা কামে যে প্রচুর সময় নষ্ট করি তা আজকেও আরেকবার প্রমান হইলো :( কামের সময় খালি ঘুম আসে :( এই সমস্যা ওই... http://fb.me/2q2xv8A5H									
","Azaira I waste a lot of time in work, it was proved once again today :( I feel sleepy during work :( This is the problem... http://fb.me/2q2xv8A5H"
"একজন লাইক ভিক্কা চাইছিল দি নাই বলে অনেক গালা গালি করলো :( কি দরকার এই সব ভার্চুয়াল খ্যাতি এর। সামান্য একটা লাইক... http://fb.me/2qRZEla36									
","One liked Vikka, she said she didn't want it :( What is the need of all this virtual fame. A little like... http://fb.me/2qRZEla36"
"কয়েক বছর পিছনে ফিরে যেতে ইচ্ছে করছে :( ইস !!! সত্যি যদি কয়েক বছর পিছনে যেতে পারতাম_তাহলে নিজের সব ভুল গুলো শুধরে নিতে পারতাম :'(									
",I wish I could go back a few years :( Yes!!! If only I could go back a few years_ then I could correct all my mistakes :'(
"বাংলা লায়ন একটা বাল... >:( আজকের রোমান্টিক ওয়েদার এ মুখটা খারাপ করাইল... >:(									
",Bangla lion is a boy... >:( Today's romantic weather has made a bad face... >:(
