translated_text_no_emoji,emoji_labels
"Good night. Have a Nice Dream. If animals were on Facebook, their status would be - Cockroach: Today is a very difficult one... http/fb.me/28n9lx6eU",[3]
Good night everyone................................................. ........,[]
I will start reading again from tomorrow. such feeling excited... Study i am come in ur home ....  after exam,[0]
Not R today everyone K GOOD NIGHT,[]
2day is my HAPPY day because today I got something,[]
"When I touch you, I get shivers all over my body. The free wings of love touch these lips  Good morning folks  http/fb.me/ZwWABO5b","[0, 1, 3]"
"Greetings Bangladesh ... we can also issue a ""warning"" ... Good Luck Bangladesh http/fb.me/6tuxNyGlR",[3]
.:: Good Morning ::. ~ Good morning ~ http/fb.me/2x72uwmOx,[3]
What to do to be the ideal daughter-in-law! A Good House Wife http/bit.ly/ILojhl,[3]
"I finally fell asleep. Good morning..... Thukku, Good Afternoon..   ",[0]
"The mood of winter, along with a strange chill in the north wind... Happy winter ",[0]
"Happy birthda Amartya Sen (born November 3, 1933) is an Indian Nobel laureate... http/fb.me/3ctmfjFRJ",[3]
"sleep sleep at the end of the night, the sun rose again, smiled and the light of the dawn again,, have a good day everyone .. a new day has begun, let me know this time GÒÒD MØRÑÌÑG",[1]
Best wishes to everyone this winter. GOOD MORNING FRIENDS.,[]
What's up everyone.....you all will be fine....hope you all sleep well...GOOD NIGHT ALL FACEBOOK FRIENDS...,[]
@YourKoel Good Evening Naughty-Sweet Sonadidi. pic.twitter.com/VxjFwFTo7J,[]
"@YourKoel Didi looks so beautiful... RT @Tollyqueenkoel ""A Very Happy Birth Day to Boman Irani Sir  http/fb.me/6A3NIam6W ""","[0, 3]"
﻿My mind is blown after losing to Madrid  Nothing feels good... 2nd home match with Copenhagen.... http/fb.me/2MIEwzs4Z,"[2, 3]"
"I am not a very good person. What are the advantages of actually being good? No, no! I've seen a lot of good ones, it's worth nothing...",[]
One person died in Noakhali after being hit by bricks by picketers ((,[2]
"Don't lose heart if you can't give it. If you can't give happiness, don't give pain. If you can't love, don't act. Don't ruin someone's life by acting.",[]
"Azaira I waste a lot of time in work, it was proved once again today  I feel sleepy during work  This is the problem... http/fb.me/2q2xv8A5H","[2, 3]"
"One liked Vikka, she said she didn't want it  What is the need of all this virtual fame. A little like... http/fb.me/2qRZEla36","[2, 3]"
I wish I could go back a few years  Yes!!! If only I could go back a few years_ then I could correct all my mistakes ,"[2, 2]"
Bangla lion is a boy... > Today's romantic weather has made a bad face... >,[2]
"Postulates Of Special Theory Of Relativity L's admissions don't come to mind ( Total ""lost man"" type stuff ",[2]
It's unbearable to see some close polpines of frnd list hunkypunky with their so called gf.. . . Feeling irritated  ,[0]
"Girls have less anger, boys have more anger...Whoever has more anger has more love...so they suffer more....... ",[2]
Everything has a certain limit but the pain of missing a loved one has no limit.... ,[2]
There is no shortcut to forgetting someone very close. Every day he will be reminded and the memories will continue to hurt him.,[]
I feel very bad. I posted a post but no one liked it.,[]
"Humans are very helpless animals in nature...! Apart from accepting destiny, people have nothing else to do..!!  #XX",[2]
"It's raining outside I want to get wet in the rain But, I am afraid if I catch a cold So don't get wet with fear   ",[2]
"If you can't hurt someone, remember that you will suffer for him one day. ",[2]
I'm very disturbed...  My mood is very bad....,[2]
"My desires are strangely random today.... That touch of reality, a fuzzy feeling of uselessness ",[2]
Nahid Ray is jealous. 7 is studying privately with a teacher ,[2]
"I went to return QB's modem, sorry Ma'a didn't take mine because of the dongle  QB's mother bap ki disco ki disco >",[2]
headache... ,[2]
"After many days Aslam came to the village and now I can't find any of my old friends, everyone is scattered.. ",[2]
 Boko Haram attack in Nigeria kills 28 students at a college in Yobo state in northeastern Nigeria... http/fb.me/L3yVBKs0,"[2, 3]"
People nearby are very busy today  no one has time ,"[2, 3]"
I saw myself and stopped the fever ,[2]
"Although there is a lot of work, when you want to sleep, you will realize that you are not in the mood for work  I am finally... I have become very lazy.",[2]
There is no money on the phone.,[]
What is the problem why I can't like comment on anyone's post????? ,[2]
"You don't have to be lazy to hear the word hello, if you don't talk a little, you don't wake up at night or in the afternoon and get a headache   ",[2]
This is Bilai's service ......... It takes 2 days to connect and the site doesn't load!! Bal ...... > http/fb.me/4niCpEmLA,"[2, 3]"
"Science will follow the rules of science. If religion is sought to be expressed through it, it would be a sign of extreme stupidity ",[2]
Mind!! — #feeling_sad.,[]
Unspoken words in life are more sad than happiness  ,[2]
Falling in love is a very bad thing. Can't even be pulled; He doesn't want to get up even if he wants to pull up.,[]
"I can't laugh, I can't cry - I don't want to live, I can't die - ",[2]
No sleep at night can't lose me but morning sleep will make me lose it right ,[2]
"One day you said I am not alone anymore you are with me !! But today you are not there, your troubles are with me... ",[2]
I am in so much pain ,[2]
Both vacations went in vain ,[2]
Wet in the rain all day and now the situation is like a filling headache...,[2]
Whatever you say bro...I want a golden deer...Aladdin's lamp is not bad...because my purse is starving now  ,"[2, 3]"
We are guilty of anything!   ,[2]
Fever is bad  ,[2]
So sad ,[2]
What's going to happen  can't think about it http/fb.me/M2nf9NVX,"[2, 3]"
"I changed the date of my visit to Dhaka, there are still some problems, there is no use without solving them ",[2]
QB Ray needs to be given a better wash! Slow Net ,[2]
Magical cross from King Leo but Pique misses an easy chance  15 minutes to go - no team in sight of goal.,[2]
"Oof! For a short time, the goal was not. ",[2]
Fever-cold-cough for 3 days. The situation is very bad.. ,[2]
"If you want, there is no way. Meeting with Sir keeping such a ticklish sleeping environment !!! ",[2]
Bhuilai Gesi strike today!!. Cricket aunty was in the morning ,"[2, 3]"
Sometimes I miss you a lot... ,[2]
"I gave a good night's sleep by banging my bangs  Sorry, no one can tolerate my sleep ","[2, 3]"
I have deleted all the previous writing... I sat down with notebook and pen thinking to write something new but without you I have nothing to write ,[2]
I want to be heartbroken ,[2]
"When I was young, I got a lot of pride, but now I lose a lot of things..!! ",[2]
myralamu >,[2]
My most important email id is hank !! Facebook ID and Hank ,[2]
No no no one.. ,[2]
"I don't understand your mind about something, why does it feel so familiar yet unknown? ",[2]
"One day there will be tears in my house, everyone will come in rows to see me again. . .   ",[2]
Want to know the solution to the problem  http/techtun.es/1aKi1ap,"[2, 3]"
"Internet expired today  I have to pay Tk 128 again  I thought that money is a problem, cable for a small amount... http/fb.me/12LwMb2bJ","[2, 3]"
"Really,,,,life could have been different ",[2]
I want to run away  far away ,"[2, 2]"
I gave Goff beard water. Filling - Vimarsh ,[2]
It's raining so much it's not hot ,[2]
Can't find the time needed >,[2]
"Goodbye to Facebook for about 1 month for exams, will miss you all very much. But sometimes it will come to mobile ",[2]
"Stopping the strike during the holidays means ""oil on the head!"" — feeling bored ",[3]
I don't understand why this is happening to me. May Allah give me any kind of pass so that I can appear in next semester  ,[2]
This is what caught me !!!! In the morning there is no in the afternoon and in the evening there is no in the night!!!!! I'm the last one to fall in the middle of this prank  ,[2]
"I have a pain in my chest, no one can solve it ",[2]
Ball matches all!!  No more burning when wet!! > Hope match!! I miss you!!  ,"[2, 2, 2]"
Why is this my lonely life? I can understand its secret today ( And that is to come alone to the world and leave alone.,[2]
I know why life seems black and white ,[2]
"My speechless mobile phone is dumb!!  Due to the huge discussion about SIM change, I have to go back to the old SIM!! Yes... http/fb.me/KUncUUIo","[2, 3]"
Was watching cartoons  damn current gone  http/fb.me/2SkFux36n,"[2, 2, 3]"
Read it on the chip. Life is hell. ,[2]
Ish like now if I had read before exam.......I would have passed for sure  #fellings - Billiant .. I am reading the whole book like a cow's essay.,[2]
I didn't see the subtweet bro ,[2]
"My secret project has not seen success yet ( Anyway, I will wait until the end. I am not disappointed yet.",[2]
Downloading cracked software from mobile is extremely annoying. Feeling Bored. . .,[]
I haven't slept in Rome all day and haven't done any good work ,[2]
Ahana I haven't talked to you even once all day friend..!! miss u.....,[2]
Let's paint a picture of you with both eyes and dream of losing you happily ,[2]
A little while ago I went to the bathroom and saw a chela! Damn... Ga is full of disgust. intolerable I hate reptiles ,[2]
Couldn't reply to someone's message  Windows went again  I went to setup  Asif Uddin Khalifa Faisal Mahmud Mahedi,[2]
There is nothing more painful than waiting : |    ,"[2, 2]"
He does not understand. . . ,[2]
Can't you give me a message?  ,"[2, 2]"
Please help  http/fb.me/Xb1QfZ3u,"[2, 3]"
Nothing looks good............ ,[2]
Featured dogs all around > http/fb.me/3aiavwzYy,"[2, 3]"
Not like this anymore ,[2]
The night bird may have fallen asleep and sleep is running away from me...... ,[2]
Mor Bandua Bihne Go  Sahena Farane Go 󾬎 Ekala Gharete Roite Fari  󾌹 - 󾇌 󾭝 󾭝,[2]
"Mom, where did you put my hartal? Can't find why? ",[2]
I don't like why he doesn't come...  -- I am talking about current!!!,[2]
The sight of an earthworm makes me cringe.,[]
"I can't and I can't, I feel tired, and colorful dreams don't accumulate in the corner of my mind ",[2]
Feeling the need for a mosquito net ,[2]
Without you again....I'm hopeless ,[2]
My favorite cell phone!  I can't post regularly in Bengali anymore! I can't even run Facebook regularly! ,[2]
"I am in great trouble...  There is no water at home since morning... The water tank is broken, there is no water in the tank either...",[2]
It's crazy not to like facebook and twitter all day. ,[2]
Today I am not happy Today I am not happy......,[]
It felt very bad that Man City and Man Utd both teams lost,[]
And I can't even start from that nursery  http/fb.me/2jnS3dX0Q,"[2, 3]"
"@idevadhikari knows one thing...tweeting you and tweeting a tree is one thing! Do not see, do not reply! But why do that! ",[2]
Next rain but I can't see ((,[2]
"Hurray, there is nothing in the house today... I tried to reduce my hunger by eating KitKat, but on the contrary, my hunger got worse >",[2]
"Shit!!! If you enter Facebook, you will see a 5 second video ad!!! ",[2]
"Apart from a few specific people (female caste), the hatred towards the women race increased one more step! ",[2]
I'm thinking of deactivating Facebook again. I don't like virtual anymore. Why? don't know ,[2]
The sound of breaking dreams is loud   ,[2]
So sad to say goodbye to #Shailaj ,[2]
All friends have graduated. And I went to Inter Pass and Thailand. Very sad... ,[2]
Words can't express the hatred the Indian border guards feel ,[2]
Losing my head  How can I take so much pressure together??  Sala's clients are all dying together and beating me  Praying... http/fb.me/KcadamC5,"[2, 3]"
Today was the last day of school.. I feel the cost of ending school life now  All my life I thought about school... http/fb.me/P2z56Oj2,"[2, 3]"
Sometimes it seems that nobody in the world is nobody. Everyone comes near with the need of time and goes away with the gap of time.  ~Shunno Akasher Ghuri~,[2]
Life support is not working                                                                                                                            )))))))))))))))),[2]
"In fact, there is no one in the world to call your own.",[]
"For some reason, if you get better results than me, I'm sure I'll kill the future :S",[]
headache... ,[2]
Disappointment is: The minimum age for marriage has been fixed but not the maximum age. ,[2]
My favorite cell phone!  I can't post regularly in Bengali anymore! I can't even run Facebook regularly! ,[2]
Finally 2 rupees left in the wallet!!! Oh Allah!!! Either show up or pay a bag of money.... #feeling chutia ,[2]
I haven't played Bombing for a long time   .,[2]
How can I tell you who you are? I will walk with my mirror.,[]
"If you go to blue fields, your head will not be right >",[2]
Disgust everything ),[2]
Betta bastard!!!! > http/fb.me/1pY9Ot7KD,"[2, 3]"
I won't play anymore. ,[2]
I know why life seems black and white ,[2]
"It's raining a lot, I want to get wet but ",[2]
I saw myself and stopped the fever ,[2]
People nearby are very busy today  no one has time ,"[2, 3]"
"Although there is a lot of work, when you want to sleep, you will realize that you are not in the mood for work  I am finally... I have become very lazy.",[2]
#SadnessIs true friends everyone is sad it seems I am the only one left ,[2]
Bangla lion is a boy... > Today's romantic weather has made a bad face... >,[2]
fever  ,"[2, 2]"
Issss...!!!!!!! If only Bangladesh had started batting a little earlier (just like they are doing now)............. #Afsos ,[2]
"Ish Sodhi, the average run of the raven, could not expect anything more from this test! ",[2]
Damn vegetarian batting (,[2]
Don't be sad if you lose but don't play for a draw...  Pida... ...,[2]
  Gazi scored a hat trick and I couldn't see it. ,"[2, 3]"
I'm tired of opening new facebook id for minsh  ... how can people? I run an id...,[2]
BNP good bye loot not forgotten > http/fb.me/1pLWsjtsz,"[2, 3]"
"In the morning, before waking up, mother's jhari  If you stay at home all day, you can understand ... how much work at home ....",[2]
"Feeling cold tomorrow with fever  In this condition, I am going to work even on vacation",[2]
"Suffering seems to be a part of life, life is not complete without suffering  If you experience suffering, you understand that there is something called life ","[2, 3]"
"Can't come to Twitter regularly for sleep, games and movies ",[2]
I am being misunderstood..pls pls pls.....miss interpret me... ,[2]
Woke up with mosquito bites. I can't sleep. But the mosquitos of Shala don't leave me ,[2]
Couldn't stand it anymore in the last Aries Idter  I have to fight a lot to come to Facebook  I am getting worse than me...,[2]
I have suffered so long. /,[3]
Jealousy... >,[2]
Fever - headache - fatigue. I do not live anymore?? ,[2]
"I saw a lot, I realized that there is no one who understands me in this world. sorry ",[2]
"Friends, the heart is not good.... Why is it so difficult!!! ",[2]
"The situation is not very good. After a few days, it may be seen that I too will sit in front of Star Jalsa.  Because there is nothing else to do...",[2]
Sorry  I will never disobey you again ,[2]
No one likes me  http/fb.me/ZyL8Syw7,"[2, 3]"
So far I have suffered the most while doing good to people  ... if he comes to pick pockets by being Shala's friend ,"[2, 2]"
Feeling hungry... but nothing cooked yet... ,[2]
"I'm not feeling well, so I'm looking at the pro pics of all my friends ",[2]
Head phone and net are dead at such times because I don't have money ,[2]
with no one....so i see alone....,[2]
Rain in Agartala and how to go out to worship. I don't like it... ,[2]
The rain is over and seems to be coming again  The game is no longer happening today ,"[2, 2]"
Miss Mashrafe Bin Mortaza ,[2]
This time mushi is wrong ,[2]
What is the difference between no internet and load shedding? Gazi's century was missed... ,[2]
I'm tired. I need to sleep. I can't sleep all night ,[2]
Disgust everything ),[2]
"People become friends for their own interests, people become enemies for their own interests, in fact there is nothing in this world without interests.",[]
I heard you are in a lot of trouble after leaving me. But I am not in trouble - only when the shadow of your face shakes the chest...,[]
"Lately, all the strange thoughts are floating in the sea of ​​my mind! ",[2]
How come there is a fair. /,[3]
For the last three weeks why nothing feels good...no house or outside..nothing...my own world is a big stranger to me today!!! All the sorrows of the world are mine today...,[]
"How many years has it been today... on the day of Qurbani Eid, do not cut meat with everyone (",[2]
Stomach became distended after falling in hot water  I want to live in hiding because of this fear but it didn't happen ,"[2, 3]"
"What does this mean? :O Unfortunately, I sent invitations to all phonebook  http/fb.me/2wgTVFaEQ","[2, 3]"
No one invited me...? ,[2]
This time the message doesn't come on the mobile   Because of the new sim..... I am in a very annoying environment.... Every day I have a headache. Strange...,[2]
oh god my god where are you hiding god. ,[2]
I am sorry that I could not send SMS and calls to anyone without money! ,[2]
Baicha Thaika and Karmui or what!  erm expert to jebneo hitarmuna  thane the neck of lungi pechaya moira jay ,"[2, 3]"
"After 5 hours wet in the rain, the head bursts with pain ",[2]
"No matter how much I laugh, how much I cry, it's all meaningless   ",[2]
I want to wish someone's birthday  but it will not be right ,"[2, 3]"
I took out one person's anger on another person...it didn't work at all  Im sorry ,"[2, 3]"
Everyone is busy giving Eid Mubarak status. Some are uploading pictures of their cows and goats  I don't know what to do....,[2]
You insulted me. I told you to come back. I don't want to live without dreams.,[]
"Well, why can't I trust girls? ? plz help me... ",[2]
"As the age increases, the happiness decreases... ",[2]
Let's not be like this with our parents............  http/fb.me/Rgh4GENO,"[2, 3]"
The body hurts a lot  I ate while playing tennis and football in the paved yard in the rain... that Shamrat...,[2]
Gardhav did not say anything... Now who knows if he will be able to study (,[2]
It seems that this time their joy will be washed away by the rain ,[2]
I can't speculate  I just want to see  What happens if I don't have a father  When will I celebrate Eid with my father again  Don't know!!!,"[2, 2, 3]"
I forgot what I was watching on TV under the pressure of advertising. ,[2]
I went out and started raining! ,[2]
A little upset...  Puja is over,[2]
I don't care that Eid is tomorrow ,[2]
At least I didn't expect these words ,[2]
Why does Picchi Picchi Polapine sometimes make me so #confused? ???  #feeling_the_day_is_changing,[3]
"If the mind is so bad, the tears come and run away? how much Feeling Cry",[]
Feeling alone that he is gone... Feeling alone,[]
One notification comes fourteen times or Polapan uploads one picture fourteen times I don't understand feeling,[]
Just feeling unbearable,[]
Feeling #Upset Happy Vijaya Dashami.. @subhashreesotwe http/fb.me/17KQIiYYj,[3]
Pator misses. . . .  [ J.A ],[2]
bye ,[2]
Then my unexpected departure! ,[2]
Did you tell me to get up today?? >,[2]
Tamim can not play without abuse! :@,[]
"I feel extremely annoyed. Target of 256 runs in 45 overs. What happens if you play a bit? Play to win. If more wickets are taken, I will think draw ",[3]
Why can't I keep my stomach down??  Why? Why? Why? Trust me to tell you everything! Why? Why? Why?,[2]
Facebook also started arguing with me. . .  . . . I could give a like in three minutes?! This is a story!!!,[2]
"I can't, brother, like thousands of people to float in everything. > ","[2, 2]"
"@RainnyMemories: After seeing so much, I realized that there is no one in this world who understands me. Sorry  you don't know yourself.",[2]
"It is very easy to lose someone with a small lie...! But,, it is very difficult to get him back even if he tells a thousand truths...!!  ~ma:sh~","[6, 2]"
"@Chhanda_ Apu, you have forgotten me, haven't you? ",[2]
"Even after trying hard all night, I didn't get much sleep. ",[2]
In what age did I wear women's clothes and play sex....!!! Feeling disappointed!!!,[]
There is a limit to feeling unwell... the limit has been crossed...  head is spinning... need rest with refresh mind,[2]
"If you wear white clothes, does your heart become white, if the mud of hypocrisy remains in your heart ",[2]
PayPal not coming to Bangladesh  International online payment gateway PayPal says no to Bangladesh. PayPal is not coming... http/fb.me/1Lu9m92Ui,"[2, 3]"
I spat on the power-hungry Razakar-lover Khaleda > Today she is a mass murderer of Mukti Bahini... http/fb.me/11n31o3mr,"[2, 3]"
Really miss school. ,[2]
Looks Like Someone Is Ignoring Me  #breaksmyheart,[2]
"Satan's persuasion all day, and fear of God, fear of death at night! ",[2]
"Sleep does not come,, sleep is also selfish ...  > ","[3, 2, 2]"
"I missed Dhet, I missed Ray.   Hasina Khaledar Jhagra Miss Kaira Falaichi.",[2]
TV speaker's life has ended 2 years ,[2]
Hot head! >,[2]
Uffffffffff!!!! Reaction after listening to the phone conversation of the two leaders: Are you listening to them   If two people face to face... http/fb.me/2IhnNwYHT,"[2, 3, 3]"
I missed Hasina and Khaleda's heartbreak ,[2]
I feel smaller than the kit I'm wearing underneath. -feeling down ,[3]
Feeling someone Mirala.......,[]
How did I become passive during the strike...... feeling sick and lazy both. ,[2]
Why is human life like this?? -feeling upset ,[2]
Feeling sorry for myself! Life is nothing but a joke...,[]
Our school exam is starting on 23 november oofff feeling sad because of wearing something,[]
"Today's Bangladesh daily front page. Mockery everywhere, feeling annoyed. pic.twitter.com/7t9k6DVaGV",[]
Shakib Al Hasan is sad to think of Ashin number one ,[2]
Dhet Shamsur Rahman didn't get his century for 4 more runs... Really feeling sorry for him.. ,[2]
Is the heat of politics on my body or not? The body feels a little warm. The fever seems to have caught me. — feeling sick.,[]
I am very excited. Neither at home nor outside nor on campus  >,[2]
A day of failure! ,[2]
"Parihma gave it at such a wasteful time  I left the house around 12 o'clock, and I just came back ","[2, 3]"
"Being born in a middle-class family is ironic. I can't stand it, I can't say it either. Purai Maincare Chippa. ",[2]
Gulistan-TSC walk after fasting all day and iftar with 1 lpenlib..starving! ,[2]
Feeling so much sadness,[]
The trouble is that you gave that feeling UltO PalTa,[]
Oops! It's cold outside!!,[]
Boring!!!...... ,[2]
"When trust is lost, people no longer expect anything from him.... — feeling confused.",[]
"Don't know about anything else, but Ronaldo should be awarded the Ballon d'Or for the doggy face and distorted gestures >",[2]
Why is love helpless?,[]
"Shala human society is bad, in which society do we live?",[]
It's 4 am on the clock :-> I know why I don't want to sleep today  Never before..! #Feeling_matha_batha.,[2]
"Have they lost their minds...... all two fours 4, 6 Mairai out..... do you think you can win? #feeling_confused #sadik",[]
Food Porn is the most trashy site in the world. Their posts come out just when the stomach is running >,[2]
"Crack the cocktail or don't crack, strike today.. :-|  ","[2, 2, 2]"
"'I set you free, you can go far away happily, if you stay, you will not come back, I will find happiness in the crowd of hundreds of troubles............ ",[2]
The idea was stolen! Two years ago we were discussing to make a band called The Band. Everything is cool! ... http/fb.me/NtVby5ST,"[2, 3]"
Can't play more than 2 balls lately... ,[2]
"Brother, what did I see? :O Are you a virgin!!! :O fact true? — Sad but truth  http/ask.fm/a/9ob976p1","[2, 3]"
Bangladeshi injured in BSF firing at Haripur border   [ http/offlink.us/G7 ] Which country in the world is so defenseless... http/fb.me/2tMCo9c5b,"[2, 3]"
"I can see another eye shining behind your eyes, I can see it, I understand that you ran away with all my light.. ",[2]
Today my phone display is tarnished from hands down. ,[2]
I forgot what to say in Bengali to miss ,[2]
Strike for 4 days. And people are having trouble ,[2]
Just thinking about the class + makeup class after the strike makes my head hang ,[2]
"Time runs out, only memories remain......... ",[2]
Why don't you understand me ,[2]
I miss the moments of tomorrow very much. ,[2]
I prioritize my dreams more than my love. It cannot be said that the love will be lost in the dream.   ,[2]
The mind is very bad. . . too much . .   ,[2]
I just took the picture to have fun with someone. I got scared myself  Post to scare you... http/fb.me/XKGv3Hbi,"[2, 3]"
You ran away with all the light... ,[2]
"I was talking to someone about a headache in the afternoon, I woke up and saw that I had a terrible headache. . .  It's kinda ok now. . . .",[2]
I came home with so much difficulty to roam around but soon after I got sick  What is there in life ??,[2]
"If you go to the Facebook page, you will understand that even though 10,000 megawatts of electricity has been generated in the country, the light of knowledge has not yet spread. ",[2]
Life swings like a drop of water on a leaf... ,[2]
Israt Shithi's head is upset...and everyone in the house is also upset ,[2]
I came back from failure............... ... [[f9.sad]],[]
Haimanti Ray...I'm very mixed with winter rice.. ,[2]
"Shalar, hijra, spineless fac-rule  still don't understand there is no movement without movement http/fb.me/1L7k6TWxY","[2, 3]"
"When danger comes, it comes from all around ",[2]
Don't let a night as bad as yesterday's come into my life  I don't want such a night to come into anyone's life. Terrible helpless... http/fb.me/2hBeVIuUu,"[2, 3]"
His family is enough to ruin a man's career. I don't think it will be read anymore. ,[2]
There is a game of cricket and there is no Sachin Tendulkar - it will be empty to think.  Sachin Tendulkar,[2]
This was my best friend and Shukhi Rajkonna's daily routine in college  ... no friend but history... http/fb.me/PwXDM9n1,"[2, 3]"
Polada has been talking for two and a half hours. God bless ,[2]
I can't take this Abal Gular anymore. Halara goes on a date in the park every Friday. ,[2]
I lost my sleep because of the happiness of the end of the exam!! ,[2]
"If I had continued with the Degree (Hon's), it would have been 5 years, but it would not have ended!!   :S  #NationalUniversity of Bangladesh News ","[0, 2, 2]"
how does it feel When you want to mingle with the earth???? Definitely don't like it  feeling d same....*sigh*,[0]
Humayun Azad did not criticize Freud. Ekkebar is making perfect criticism. feeling ---- hot head >.< http/fb.me/6KRRTtM6i,[3]
The lack of countrymen is crazy!! Great lack of patriots!! ,[2]
Phone stickers are required to be purchased. I am in financial crisis.....  I have 4 rupees in my pocket ,"[2, 3]"
I know that Rakib Bhai has minimum 54 thousand taka in his card. But I don't understand how much he will take. ,[2]
"Even if the fever is reduced, the cold is not reduced.. ",[2]
"Aare, water is falling in Deiksha chouksh.  http/fb.me/2s4cMoS0w","[2, 3]"
No one can substitute for anyone. Love cannot be taken back.  #Nuhash_Humayun,[2]
In the last 4 days I slept only 6 hours!  I'm exhausted due to work pressure. 4-5 programs today on top of that... http/fb.me/1Q9XFz6ln,"[2, 3]"
It only takes a minute to pass out on Chuka St!!!  Goodbye world! Don't forget me,[2]
"If you want to know the behavior of NASA, why is NASA angry bro  http/fb.me/2cXtA7iDq","[2, 3]"
Mind.....I got your name in the wind....Mind......lost it in the wind........ ,[2]
"One night, one battle. ",[2]
"Life is a narrow path like a railway line, why do you feel so much... ",[2]
"Stopped going around. From now on, life in front of the TV at home begins. Only old memories are there.  pic.twitter.com/N801sP2UXs",[2]
Senior Sister + Junior Brother = A Happy Relationship !! Missing all my beautiful seniors ,[2]
Don't eat noodles > http/fb.me/Nn11vhQ9,"[2, 3]"
It could not be like that... but it is...  Unnecessary... Phew!!,[2]
#Rangpur er winter onk miss korci  #onek thanda naki abar #someone_give_me_the_cold_to_cover_this_is_big_miss ,[2]
"Indian ""Nawab Zaadi"" Haramzadi, why don't you reply my message...??  Give a blank reply once... Kata... http/fb.me/2Xu6meWXy","[2, 3]"
Silent poet in unexplained sleep...  ,[2]
99% people of our country understand only voting as democracy and voting is only a formality...  And... http/fb.me/1qVtZXtMA,"[2, 3]"
"Even if a goat pees, it never becomes a cow. As it is >",[2]
"Among almost all the male dancers known on TV, why do I notice a girly girly feeling? I do not understand the problem. ",[2]
"People will forget Sachin Tendulkar after he quits the game Because, India has now got few cricketers to fill the void ",[2]
"I should leave this country very soon, otherwise I will end up in politics ",[2]
"Marcelo, one of the best leftbacks of the time, is injured again!  Marcelo injured his knee in the training session yesterday. His left... http/fb.me/2xrrpsorI","[2, 3]"
I know why it feels so bad!!  I can't find the stairs under my feet.,[2]
"Everyone has changed, I couldn't change......being nostalgic ",[2]
"Saying with a chest pain ""I am a helpless Chuetian"".  ",[2]
"Biggest typhoon in history in Philippines, death toll exceeds 100  Biggest typhoon in history destroys three-story house in Philippines... http/fb.me/2wcMAgUrj","[2, 3]"
No more jamming ,[2]
"If you go out on the street, you die ",[2]
An Awami League leader was killed in a bomb attack in Jessore's Abhaynagar. ,[2]
"Rashikin Saddid my market t shash re mamma  I am shash! destitute, bankrupt ",[2]
I'm not feeling well... I went to sleep ,[2]
"Ashwin the world's best all-rounder? You will not beat me, I myself Moira Jamu? ",[2]
A seriously depressing post...  http/fb.me/Pt7bkp0h,"[2, 3]"
 So far more than 1200 people have been killed in the Philippines due to the terrible typhoon Haiyan.,[2]
"When I look at your picture, I feel like I forgot all the pain you gave me  It's like everything starts anew, a new... http/fb.me/32gZM2ClL","[2, 3]"
Love for money is dead today. ,[2]
headache ,[2]
"I failed, wounded, killed and shocked. This is the shot that #trisha gave me in the morning   ""amar baga... http/fb.me/18O9O1mUA","[2, 2, 3]"
Unable to talk with uneducated people. They can produce jam on mango trees. Unbelievable >,[2]
Slowly the good days of life are running out  But the dream remains elusive.,[2]
"The Rural Electricity Authority has stopped the unannounced power supply since 8 am, while the generator is broken.  The day is soil",[2]
"﻿#AkashDeep ""AkashDeep lights up . . ."" #Diwali coming...The #Festival of #Light is near. #HappyDiwali  Happy #Deepabali https/www.facebook.com/photo.php?","[0, 3]"
"#good_night_शुवरात्र A sun is setting again, a night is being born!! http/buff.ly/18ZO47f pic.twitter.com/TIWS6WNpMy",[3]
"* Good Morning * Did anyone wake up? But I'm getting up.. If you get up, please like and comment. It's a little early in the morning... http/fb.me/1wi7IrN1K",[3]
* good night * . . . * GOOD NIGHT *,[]
;-):-D:-D Pakistan is losing what fun!Proteus and the beauty,[0]
@FarahPiani: All the trouble is with me!  Because you are a trouble yourself,[2]
@iam_koni Didi: I thought Manna Dey's song will play a lot on channels; Didn't ring! Only news: 'His death'!,[]
@jeet30 Good Night sona dada.....good night ,[0]
@SarimKhan well done ,[0]
@shreyaghoshal Good night. stay well  ,[0]
"@We_Love_Mir May this auspicious day of the year paint you with all its colors, May every moment of the festival be brighter. Eid",[]
" Good Morning  Sleep Sleep At the end of the night, the sun rose again, smiled, and the light of the morning,, have a good day everyone.. Started... http/fb.me/6BeAosu4y","[1, 3]"
12-15 The shop was set on fire ,[2]
"Best couple of 2013, everyone pray  http/fb.me/2sIu8H2Dk","[0, 3]"
"Alhamdulillah, I can walk  http/fb.me/2I3zdqeGm","[0, 3]"
AmnI ColD n Fever A seSh hYa JaiTesi TaR upoR abR polApaIn futo tagayna start kasse    #कोयजेज़मुबपु !!!,"[2, 2]"
Asian Music Hour on Asian Tv at eleven o'clock. Enjoying it ,[0]
"Describe what a good friend means to you? — Someone you can talk to for hours for no reason, saying the same thing over and over... http/ask.fm/a/a045hbni",[3]
Eating chicken Feeling fox  ,[0]
Feeling - sleepy but I don't want to do anything,[]
Feeling a sad  I don't want to see the pages in the name of love.....,[2]
Feeling what is on the forehead! ,[2]
Feeling-nausea listening to Khaleda's phone conversation.,[]
FIFA OSTs are now very popular ,[0]
"Good Morning .. someone's emotions. Don't give love, give love of heart............. because emotional love will one day lose to conscience",[]
Good night Facebook!,[]
